UserID,Name,Surname,Email,Channel,RecordDate2_to_SA_Time,Duration,Age,Province,Race,Gender,time_buckets,Age_Band,Day_Type
903994,Bernardo ,Hier,Bernardo 323@mail.com,Trace TV,1/4/16 20:09,2026-04-11T00:02:00.000Z,33,Western Cape,coloured,male,03. Evening,3. 25-34,Weekday
802352,None,None,Shelley 34@abcmail.com,ICC Cricket World Cup 2011,3/30/16 11:04,2026-04-11T00:10:06.000Z,0,None,None,None,01. Morning,1. Under 18,Weekday
866125,Emerson ,Mccollum,Emerson 243@mail.com,ICC Cricket World Cup 2011,3/30/16 19:01,2026-04-11T00:00:42.000Z,30,Gauteng,indian_asian,male,03. Evening,3. 25-34,Weekday
2425604,Tiffani ,Pilot,Tiffani 433@mail.com,ICC Cricket World Cup 2011,3/25/16 17:23,2026-04-11T00:00:10.000Z,51,Gauteng,white,female,03. Evening,5. 45-54,Weekday
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,SawSee,2/2/16 19:18,2026-04-11T00:01:33.000Z,9,Eastern Cape,white,female,03. Evening,1. Under 18,Weekday
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,Boomerang,3/18/16 18:56,2026-04-11T00:00:10.000Z,9,Eastern Cape,white,female,03. Evening,1. Under 18,Weekday
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,Channel O,3/20/16 6:25,2026-04-11T00:17:15.000Z,9,Eastern Cape,white,female,01. Morning,1. Under 18,Weekend
793571,Shelley ,Reisinger,Shelley 234@abcmail.com,Boomerang,2/3/16 8:43,2026-04-11T00:01:13.000Z,9,Eastern Cape,white,female,01. Morning,1. Under 18,Weekday
819248,None,None,Bess 381@yahoo.com,Channel O,3/31/16 12:01,2026-04-11T00:04:45.000Z,0,None,None,None,02. Afternoon,1. Under 18,Weekday
820321,Haywood ,Singer,Haywood 92@gmail.com,Cartoon Network,1/9/16 10:25,2026-04-11T00:00:40.000Z,26,Kwazulu Natal,indian_asian,male,01. Morning,3. 25-34,Weekend
892453,Eli ,Caves,Eli 291@yahoo.com,Supersport Live Events,3/24/16 11:09,2026-04-11T00:00:06.000Z,34,Gauteng,indian_asian,male,01. Morning,3. 25-34,Weekday
